sample_id,region,modality,mean_fg_iou,pixel_accuracy,object_precision,object_recall,object_f1,weighted_competition_f1,num_pred_objects,num_gt_objects
000003,005_ЛУБНО,Li,0.058465082198381424,0.8605194091796875,0.0,0.0,0.0,0.0,1,4
000004,005_ЛУБНО,Li,0.14054617285728455,0.87030029296875,0.399999920000016,0.6666664444445185,0.49999940625045514,0.04476414015457318,5,3
000005,005_ЛУБНО,Li,0.742456316947937,0.949859619140625,0.9999990000010001,0.33333322222225925,0.4999993750002813,0.033573099520402584,1,3
000006,005_ЛУБНО,Li,0.37361228466033936,0.9503173828125,0.99999950000025,0.6666664444445185,0.7999992000004,0.05371697266189737,2,3
000007,005_ЛУБНО,Li,0.8026798367500305,0.962249755859375,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.0671461822542806,1,1
000008,005_ЛУБНО,Li,0.7694675326347351,0.9577178955078125,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.0671461822542806,1,1
000009,005_ЛУБНО,Li,0.13016602396965027,0.88665771484375,0.33333322222225925,0.9999990000010001,0.4999993750002813,0.0671461822542806,3,1
000010,005_ЛУБНО,Li,0.3212459087371826,0.9217529296875,0.499999750000125,0.9999990000010001,0.6666657777782964,0.0671461822542806,2,1
000011,005_ЛУБНО,Li,0.06056922301650047,0.841522216796875,0.0,0.0,0.0,0.0,1,4
000012,005_ЛУБНО,Li,0.00044750323286280036,0.42767333984375,0.33333322222225925,0.499999750000125,0.39999936000062397,0.04476412896353069,3,2
000015,006_МОСКОВИТЫ,Li,0.03567516803741455,0.425201416015625,0.199999960000008,0.9999990000010001,0.33333294444456485,0.04476412896353069,5,1
000016,006_МОСКОВИТЫ,Li,0.0,0.0766448974609375,0.0,0.0,0.0,0.0,2,1
000017,006_МОСКОВИТЫ,Li,0.0,0.0,0.0,0.0,0.0,0.0,5,1
000018,006_МОСКОВИТЫ,Li,0.0,0.1631622314453125,0.0,0.0,0.0,0.0,3,1
000019,006_МОСКОВИТЫ,Li,0.0,0.0799713134765625,0.0,0.0,0.0,0.0,1,1
