sample_id,region,modality,mean_fg_iou,pixel_accuracy,object_precision,object_recall,object_f1,weighted_competition_f1,num_pred_objects,num_gt_objects
000003,005_ЛУБНО,Li,0.07418765127658844,0.8705902099609375,0.199999960000008,0.24999993750001562,0.2222216790134513,0.022382057021089617,5,4
000004,005_ЛУБНО,Li,0.31914815306663513,0.92010498046875,0.6666664444445185,0.6666664444445185,0.6666659444448935,0.05371697266189737,3,3
000005,005_ЛУБНО,Li,0.6736534237861633,0.9387054443359375,0.9999990000010001,0.33333322222225925,0.4999993750002813,0.033573099520402584,1,3
000006,005_ЛУБНО,Li,0.6692768335342407,0.93426513671875,0.99999950000025,0.6666664444445185,0.7999992000004,0.05371697266189737,2,3
000007,005_ЛУБНО,Li,0.22837089002132416,0.939605712890625,0.33333322222225925,0.9999990000010001,0.4999993750002813,0.04476412896353069,3,1
000008,005_ЛУБНО,Li,0.7708333134651184,0.9612274169921875,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.0671461822542806,1,1
000009,005_ЛУБНО,Li,0.36776211857795715,0.88287353515625,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.0671461822542806,1,1
000010,005_ЛУБНО,Li,0.2458925098180771,0.8960113525390625,0.16666663888889352,0.9999990000010001,0.28571395918376097,0.0671461822542806,6,1
000011,005_ЛУБНО,Li,0.10926425457000732,0.8526611328125,0.33333322222225925,0.24999993750001562,0.28571371428657144,0.022382057021089617,3,4
000012,005_ЛУБНО,Li,0.0,0.4272308349609375,0.0,0.0,0.0,0.0,4,2
000015,006_МОСКОВИТЫ,Li,0.0,0.4009857177734375,0.0,0.0,0.0,0.0,2,1
000016,006_МОСКОВИТЫ,Li,0.0,0.030792236328125,0.0,0.0,0.0,0.0,3,1
000017,006_МОСКОВИТЫ,Li,0.0,0.0,0.0,0.0,0.0,0.0,10,1
000018,006_МОСКОВИТЫ,Li,0.0,0.1401214599609375,0.0,0.0,0.0,0.0,0,1
000019,006_МОСКОВИТЫ,Li,0.0,0.0969696044921875,0.0,0.0,0.0,0.0,5,1
000020,006_МОСКОВИТЫ,Li,0.0,0.0232391357421875,0.0,0.0,0.0,0.0,3,1
000021,006_МОСКОВИТЫ,Ae,0.0,0.960968017578125,0.0,0.0,0.0,0.0,1,2
