sample_id,region,modality,mean_fg_iou,pixel_accuracy,object_precision,object_recall,object_f1,weighted_competition_f1,num_pred_objects,num_gt_objects
000510,021_НОВОТИТАРОВСКАЯ,SpOr,0.458445280790329,0.9077301025390625,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
002454,054_КУРМЕНТУ,SpOr,0.051428113132715225,0.8666839599609375,0.24999993750001562,0.9999990000010001,0.399999520000176,0.3333328333337501,4,1
000187,008_СЕЛЯНЕ,Ae,0.2377469837665558,0.92999267578125,0.499999750000125,0.24999993750001562,0.33333277777837034,0.3333328333337501,2,4
002457,054_КУРМЕНТУ,SpOr,0.13369770348072052,0.9259033203125,0.24999993750001562,0.499999750000125,0.33333277777837034,0.3333328333337501,4,2
000171,008_СЕЛЯНЕ,Li,0.17371618747711182,0.6958770751953125,0.499999750000125,0.9999990000010001,0.6666657777782964,0.3333328333337501,2,1
000495,020_ОСЕЧКИ_2,Li,0.7041946649551392,0.95233154296875,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
001681,032_ПРИМАКИ_1.3км,Li,0.0642026886343956,0.8526763916015625,0.499999750000125,0.9999990000010001,0.6666657777782964,0.3333328333337501,2,1
000511,022_КРАСНОСЕЛЬСКАЯ_0.5км,Li,0.47019684314727783,0.9125213623046875,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
000447,018_СЕМИБРАТНЕЕ_1,Ae,0.23539938032627106,0.78485107421875,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
000443,018_СЕМИБРАТНЕЕ_1,Li,0.8283154368400574,0.97076416015625,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
