sample_id,region,modality,mean_fg_iou,pixel_accuracy,object_precision,object_recall,object_f1,weighted_competition_f1,num_pred_objects,num_gt_objects
001684,032_ПРИМАКИ_1.3км,SpOr,0.296964168548584,0.9517669677734375,0.6666664444445185,0.99999950000025,0.7999992000004,0.4884085770055683,3,2
001634,028_САРАТОВ,Li,0.0823352187871933,0.94744873046875,0.33333327777778704,0.6666664444445185,0.4444439012350096,0.4093861459164845,6,3
000169,008_СЕЛЯНЕ,Li,0.31855273246765137,0.612640380859375,0.49999987500003124,0.99999950000025,0.6666660000003334,0.399679722888667,4,2
002109,044_ГОЧЕВО,Ae,0.36378008127212524,0.944732666015625,0.99999950000025,0.99999950000025,0.9999990000004999,0.3333330000001667,2,2
000436,018_СЕМИБРАТНЕЕ_1,Li,0.3440563678741455,0.918670654296875,0.6666664444445185,0.99999950000025,0.7999992000004,0.3333330000001667,3,2
001683,032_ПРИМАКИ_1.3км,Li,0.5344727039337158,0.926849365234375,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
001677,030_КОПАНСКОЕ,Li,0.03419451043009758,0.44647216796875,0.24999993750001562,0.9999990000010001,0.399999520000176,0.3333328333337501,4,1
000509,021_НОВОТИТАРОВСКАЯ,SpOr,0.21426481008529663,0.9297943115234375,0.33333322222225925,0.9999990000010001,0.4999993750002813,0.3333328333337501,3,1
002457,054_КУРМЕНТУ,SpOr,0.205441415309906,0.8990478515625,0.199999960000008,0.499999750000125,0.28571379591892127,0.3333328333337501,5,2
002459,054_КУРМЕНТУ,SpOr,0.1759207397699356,0.9087371826171875,0.33333322222225925,0.9999990000010001,0.4999993750002813,0.3333328333337501,3,1
000507,021_НОВОТИТАРОВСКАЯ,Li,0.6194576025009155,0.9190673828125,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
000443,018_СЕМИБРАТНЕЕ_1,Li,0.8019785284996033,0.963958740234375,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
000176,008_СЕЛЯНЕ,Li,0.6590295433998108,0.66278076171875,0.9999990000010001,0.9999990000010001,0.9999985000012501,0.3333328333337501,1,1
000180,008_СЕЛЯНЕ,Li,0.39711907505989075,0.9099273681640625,0.499999750000125,0.9999990000010001,0.6666657777782964,0.3333328333337501,2,1
002280,046_ТЫВА_2,SpOr,0.3083115518093109,0.9250640869140625,0.99999950000025,0.33333327777778704,0.49999950000025,0.32869661830024643,2,6
000303,010_НОВЕНЬКОЕ,Li,0.20367752015590668,0.2984466552734375,0.57142848979593,0.44444439506173394,0.49999944531299034,0.3256058231935332,7,9
002468,054_КУРМЕНТУ,SpOr,0.06101237237453461,0.95684814453125,0.285714244897965,0.6666664444445185,0.39999950000042495,0.28856872288869156,7,3
000185,008_СЕЛЯНЕ,Li,0.5550492405891418,0.7669525146484375,0.285714244897965,0.99999950000025,0.4444440000002222,0.2731411507075747,7,2
000166,008_СЕЛЯНЕ,Li,0.1913083791732788,0.58245849609375,0.33333327777778704,0.6666664444445185,0.4444439012350096,0.2731411081177659,6,3
000438,018_СЕМИБРАТНЕЕ_1,Li,0.33489319682121277,0.8551788330078125,0.6666664444445185,0.6666664444445185,0.6666659444448935,0.26666640000013336,3,3
