group,feature,count,mean,p25,median,p75,max
obvious_fp,mask_area,87,21198.908045977012,1836.0,10136.0,29296.0,168001.0
obvious_fp,foreground_fraction,87,0.09009147338259116,0.035113464276036954,0.059055503845588594,0.12219922722669671,0.5019388516032811
obvious_fp,largest_component_area,87,14475.954022988506,1275.5,5856.0,17245.0,124138.0
obvious_fp,largest_component_fraction,87,0.7086230382438456,0.5622672074887447,0.7544463568559954,0.8634759715719004,1.0
obvious_fp,mask_bbox_area,87,116289.16091954023,15071.0,49911.0,161680.5,691188.0
obvious_fp,mask_bbox_fraction,87,0.47040644297362144,0.24544184598904162,0.4574279736037341,0.6371831359422726,1.0
obvious_fp,compactness,87,0.22122603035497992,0.10879572663595052,0.162251271240678,0.2693488495482025,1.0484053915093965
obvious_fp,num_components,87,6.747126436781609,4.0,6.0,8.5,23.0
obvious_fp,mean_foreground_prob,87,0.7650004262211679,0.7136734127998352,0.7667234539985657,0.8184306025505066,0.907141387462616
obvious_fp,max_foreground_prob,87,0.9699497928564575,0.9624508321285248,0.9915757775306702,0.9972613453865051,0.9997541904449463
plausible_fp,mask_area,62,7481.645161290323,1502.25,3825.5,10146.75,69860.0
plausible_fp,foreground_fraction,62,0.13197686823603266,0.06183021906720197,0.10410995210202312,0.13310476983614117,0.8003921568627451
plausible_fp,largest_component_area,62,5564.274193548387,1189.75,3214.0,6079.75,38124.0
plausible_fp,largest_component_fraction,62,0.7562311136486639,0.5473108537424951,0.8405797101449275,0.9514032884780563,1.0
plausible_fp,mask_bbox_area,62,40775.6935483871,6752.5,12063.0,30319.5,430272.0
plausible_fp,mask_bbox_fraction,62,0.4603773054828567,0.22379634555573744,0.37667160111127745,0.7427870372878179,1.0
plausible_fp,compactness,62,0.2959499312120362,0.15880104750178725,0.2388790178148487,0.3795904143769087,0.9898198520372842
plausible_fp,num_components,62,5.612903225806452,3.0,5.0,7.75,20.0
plausible_fp,mean_foreground_prob,62,0.7717315285436569,0.7110282629728317,0.7811145484447479,0.8385412096977234,0.9239870309829712
plausible_fp,max_foreground_prob,62,0.9639596525699862,0.9491045475006104,0.9915675520896912,0.9976133555173874,0.9996922016143799
tp,mask_area,80,11239.175,2090.25,4849.5,13449.0,80974.0
tp,foreground_fraction,80,0.1497287879678702,0.09210904884249832,0.12619609674049392,0.17883977394455253,0.7157164869029276
tp,largest_component_area,80,9304.2,1381.5,3444.5,9679.5,80974.0
tp,largest_component_fraction,80,0.7855829791850402,0.6319240698431631,0.8329440802073194,0.9837980605244319,1.0
tp,mask_bbox_area,80,43586.975,5983.5,14226.5,47809.25,420518.0
tp,mask_bbox_fraction,80,0.48136624989420607,0.2847535225835356,0.3915226015745259,0.674482194552759,1.0
tp,compactness,80,0.2800363877570984,0.11688275185621119,0.21180392229833822,0.3687364827806692,1.011139369787088
tp,num_components,80,5.6625,3.0,5.0,8.0,16.0
tp,mean_foreground_prob,80,0.8030758574604988,0.7478837370872498,0.7998836636543274,0.8566045463085175,0.9427803158760071
tp,max_foreground_prob,80,0.9873607471585274,0.9835792779922485,0.9947170913219452,0.9988100826740265,0.9999786019325256
